2023-10-18 14:07:55.444 | DEBUG    | __main__:insert_job_listing:77 - Inserted NetApp:Intern - Support & Services to job_listings table
2023-10-18 14:07:55.444 | DEBUG    | __main__:task:258 - Inserting ByteDance:Network Software Development Engineer Intern (SDN-Network Analytics) - 2024 Summer (PHD) to job_listings table
2023-10-18 14:07:55.457 | DEBUG    | __main__:insert_job_listing:77 - Inserted ByteDance:Network Software Development Engineer Intern (SDN-Network Analytics) - 2024 Summer (PHD) to job_listings table
2023-10-18 14:07:55.458 | DEBUG    | __main__:task:258 - Inserting Uline:Network Engineer Internship - Summer 2024 to job_listings table
2023-10-18 14:07:55.467 | DEBUG    | __main__:insert_job_listing:77 - Inserted Uline:Network Engineer Internship - Summer 2024 to job_listings table
2023-10-18 14:07:55.468 | DEBUG    | __main__:task:258 - Inserting McCormick & Company:Maintenance and Engineering Intern to job_listings table
2023-10-18 14:07:55.471 | DEBUG    | __main__:insert_job_listing:77 - Inserted McCormick & Company:Maintenance and Engineering Intern to job_listings table
2023-10-18 14:07:55.471 | DEBUG    | __main__:task:258 - Inserting Comcast:Tech Intern - Hardware Test and Validation Engineer (TPX) to job_listings table
2023-10-18 14:07:55.475 | DEBUG    | __main__:insert_job_listing:77 - Inserted Comcast:Tech Intern - Hardware Test and Validation Engineer (TPX) to job_listings table
2023-10-18 14:07:55.475 | DEBUG    | __main__:task:258 - Inserting Northrop Grumman:2024 Intern, Electronics Engineer - Manhattan Beach, CA to job_listings table
2023-10-18 14:07:55.481 | DEBUG    | __main__:insert_job_listing:77 - Inserted Northrop Grumman:2024 Intern, Electronics Engineer - Manhattan Beach, CA to job_listings table
2023-10-18 14:07:55.481 | DEBUG    | __main__:task:284 - Sending email notification
2023-10-18 14:08:00.893 | ERROR    | __main__:send_email_notification:130 - Error sending email
2023-10-18 18:26:54.681 | DEBUG    | __main__:<module>:220 - Created log_output.log file
2023-10-18 18:26:58.195 | DEBUG    | __main__:<module>:220 - Created log_output.log file
2023-11-07 17:13:49.143 | DEBUG    | __main__:<module>:221 - Created log_output.log file
2023-11-07 17:14:06.042 | DEBUG    | __main__:<module>:221 - Created log_output.log file
2023-11-07 17:14:33.990 | ERROR    | __main__:send_email_notification:131 - Error sending email
2023-11-07 17:44:23.558 | DEBUG    | __main__:<module>:221 - Created log_output.log file
2023-11-07 17:44:23.559 | DEBUG    | __main__:connect_to_database:36 - Connected to the job_listings.db database
2023-11-07 17:44:23.559 | DEBUG    | __main__:connect_to_database:56 - job_listings table created
2023-11-07 17:44:23.559 | DEBUG    | __main__:task:241 - Checking New Linkedin Job postings for Network Engineer Intern
